Points	Distance	Richness	TotalAbundance	AbudancePlastic	AbundanceWood	AbundanceMetal	Length
1	180	8	13	11	1	0	36
2	360	3	8	6	0	0	12
3	540	1	1	1	0	0	17.45
4	720	5	9	8	0	0	14
5	900	1	1	1	0	0	8
6	1080	8	18	17	1	0	20
7	1260	3	4	3	1	0	13
8	1440	11	32	25	7	0	14.16
9	1620	6	14	13	1	0	14
10	1800	3	3	2	0	0	10.6
11	1980	7	11	7	4	0	12.8
12	2160	3	6	4	2	0	14.2
14	2520	6	11	10	1	0	9.55
15	2700	11	24	20	3	1	16
16	2880	9	54	6	16	1	6
17	3060	15	70	57	0	8	12
18	3240	10	25	25	0	0	15
19	3420	6	15	14	1	0	21
20	3600	17	67	62	2	1	18.9
21	3780	9	26	26	0	0	16
22	3960	3	12	12	0	0	12
23	4140	8	25	24	0	1	10
24	4320	13	37	35	0	2	16.6
25	4500	10	32	30	0	2	15
26	4680	9	28	28	0	0	17.2
27	4860	3	18	18	0	0	8.2
28	5040	10	34	33	0	1	15.3
31	5580	8	28	26	2	0	13
32	5760	5	15	14	1	0	11.45
33	5940	5	12	12	0	0	13
34	6120	12	32	27	5	0	8.5
36	6480	15	60	59	1	0	18
38	6840	13	61	57	3	1	11.5
39	7020	6	18	17	0	0	6.5
40	7200	2	4	4	0	0	9.4
41	7380	4	9	9	0	0	10.4
42	7560	6	8	7	1	0	8.7
43	7740	7	20	18	1	1	14.7
44	7920	6	9	7	2	0	9.3
45	8100	3	6	6	0	0	10.2
